100 500
42 53 1
86 82 10
65 87 9
98 31 8
68 72 8
19 20 4
75 41 9
98 80 9
80 46 8
67 42 3
91 47 5
46 71 7
53 40 5
13 14 10
46 24 6
40 12 1
7 98 1
52 21 8
56 38 10
51 8 5
90 79 3
57 29 6
81 90 10
85 41 3
80 62 1
85 94 7
51 53 8
85 12 2
0 95 10
82 12 5
12 14 6
35 45 7
84 20 2
59 91 8
18 78 9
22 11 5
44 57 3
4 5 10
52 87 10
32 91 1
68 76 5
33 81 7
11 33 10
33 32 10
11 23 5
60 41 2
32 88 5
34 21 2
23 20 5
19 49 8
54 39 5
39 90 2
59 98 6
20 50 10
24 43 2
28 41 1
3 21 2
86 94 2
72 50 8
77 22 2
19 88 8
96 62 4
85 14 5
93 51 2
41 28 3
9 8 2
8 7 5
16 51 1
9 41 3
96 76 9
39 33 5
92 31 5
50 51 5
17 23 9
17 44 4
71 15 4
26 72 1
93 68 4
83 38 8
7 3 4
29 57 9
46 27 6
16 5 5
43 40 7
1 90 4
14 18 2
97 64 6
62 93 10
17 39 7
30 50 10
99 93 4
9 45 3
44 57 1
95 49 6
11 79 9
41 97 6
4 11 6
4 61 6
50 23 8
66 53 8
50 58 2
9 12 1
95 35 3
64 6 1
71 45 3
44 63 8
81 96 6
16 65 1
89 65 4
62 66 8
60 19 4
40 88 3
63 69 3
91 38 4
52 19 1
60 35 6
96 17 1
79 71 6
53 9 3
21 79 6
66 73 7
23 24 3
18 29 7
4 74 4
39 73 1
96 88 1
48 77 9
3 62 5
52 5 8
35 92 10
95 45 4
25 76 8
22 88 8
85 79 3
64 91 1
36 22 8
87 58 2
9 83 2
71 12 9
81 85 3
46 19 10
36 69 3
48 19 10
58 20 8
76 77 4
26 72 7
25 32 8
40 5 10
38 33 7
49 47 3
74 46 3
4 43 7
4 31 5
19 45 9
81 35 8
49 95 6
4 96 7
44 10 1
69 78 2
73 56 10
65 74 7
88 91 5
83 56 9
92 25 5
95 88 1
99 84 3
84 71 4
14 13 8
95 75 1
84 11 5
25 80 7
44 74 1
59 14 7
5 6 5
82 59 3
75 20 2
51 25 10
73 80 7
10 41 1
1 49 1
57 1 6
58 8 4
93 41 8
93 49 4
24 75 6
11 85 1
93 66 4
63 68 9
32 55 3
73 51 6
70 32 9
88 70 3
35 5 7
11 40 10
23 34 6
90 81 7
14 71 5
79 88 4
3 12 1
7 33 10
21 68 2
96 97 10
55 90 7
73 66 6
90 31 8
7 75 4
58 42 2
1 23 8
46 72 7
15 5 5
80 12 9
55 12 6
13 93 10
21 32 6
31 41 6
13 53 4
55 11 4
67 96 7
83 75 9
39 40 3
14 21 6
10 73 2
66 8 1
47 80 8
64 61 3
47 80 2
16 32 5
38 11 2
98 86 4
44 19 8
5 72 1
31 60 9
15 30 6
46 86 2
58 44 9
60 11 6
25 19 6
26 87 6
83 51 4
81 37 1
19 10 8
79 33 10
80 17 8
53 25 9
27 46 5
99 49 4
2 15 5
23 61 4
39 13 10
75 14 9
21 82 6
77 48 7
16 13 7
81 56 8
5 45 9
4 61 8
94 83 6
72 16 6
82 77 10
