700 3500
199 473 6
674 175 3
75 193 9
129 365 1
247 75 6
322 662 7
259 44 8
313 142 10
663 307 6
629 644 8
328 550 5
57 4 5
684 227 6
168 126 4
473 438 3
375 693 3
682 692 5
235 578 2
615 163 1
429 57 7
454 49 6
35 568 6
561 26 5
259 17 2
323 169 4
176 643 5
610 137 1
517 298 5
411 476 9
146 366 2
180 179 4
515 567 5
69 360 6
216 312 2
224 563 8
52 665 8
439 454 8
314 85 5
581 144 4
294 681 3
611 340 4
680 395 10
541 286 8
567 540 5
354 543 7
679 346 9
444 596 4
490 263 5
149 428 1
60 625 10
140 514 10
609 608 6
519 11 8
229 666 3
30 394 4
659 462 7
496 304 6
348 392 2
391 656 10
675 533 7
442 63 8
260 515 7
453 82 5
114 126 5
357 493 8
95 244 10
257 163 2
686 287 2
108 397 7
9 252 2
18 543 10
12 430 10
295 421 6
559 377 4
425 292 5
364 393 10
172 4 1
327 200 3
698 515 5
361 634 4
460 685 9
593 674 1
395 550 4
579 56 5
567 142 3
564 421 1
271 175 7
597 642 4
111 31 5
418 474 10
497 423 6
481 179 3
430 619 7
214 521 9
278 301 2
503 68 2
94 384 10
19 81 10
181 557 3
471 420 8
78 672 2
471 474 9
239 97 3
698 121 5
183 504 1
411 497 4
472 414 3
690 212 5
437 572 6
342 581 4
606 426 3
311 478 1
566 373 8
172 376 10
100 625 8
282 436 7
318 87 3
476 117 3
478 10 10
498 15 7
660 0 9
410 432 7
28 272 4
378 121 9
531 215 8
396 211 4
684 553 6
586 509 5
643 225 10
321 472 6
46 140 3
162 482 8
665 34 2
96 316 6
195 459 10
697 294 9
108 595 8
474 244 9
522 113 9
595 155 6
247 267 2
174 547 2
164 390 4
409 514 9
218 170 1
135 604 8
563 604 5
198 205 5
367 617 4
528 18 1
310 410 4
18 399 10
651 493 2
453 575 4
151 523 4
304 214 1
495 687 1
486 233 8
150 1 4
258 637 5
538 289 10
184 584 8
74 66 1
577 352 1
616 399 7
203 76 2
523 560 8
96 25 6
372 220 10
67 478 3
575 73 10
401 481 10
375 340 6
120 275 10
217 81 1
154 368 8
695 235 1
637 386 10
59 267 10
619 182 3
119 125 7
178 33 1
448 535 4
72 308 5
304 9 7
66 254 3
252 310 10
694 31 4
516 488 1
279 607 6
601 658 4
555 116 8
535 446 3
204 535 5
666 269 7
487 7 8
364 632 7
129 456 3
150 424 6
436 518 4
417 565 3
535 203 8
214 321 9
22 63 5
156 44 9
664 594 4
668 646 1
375 315 10
602 415 6
250 198 7
62 374 6
613 127 2
390 482 2
124 528 6
63 297 9
541 676 1
296 67 7
49 155 10
294 279 3
545 210 1
338 146 8
60 389 10
116 182 7
403 17 6
152 125 8
406 426 2
486 318 7
468 490 5
292 489 1
214 590 10
532 112 4
24 309 5
194 200 8
4 562 7
13 75 1
32 151 10
76 283 9
113 339 9
686 533 10
439 146 7
516 456 1
235 183 6
599 476 5
160 541 8
683 281 3
287 233 2
660 661 1
176 644 7
345 529 8
410 111 6
468 20 3
359 58 2
147 500 7
349 508 7
379 331 8
627 10 2
266 334 9
520 0 10
139 529 5
324 270 10
61 85 4
194 380 2
302 111 8
185 569 5
559 567 5
249 375 8
422 329 7
113 213 2
531 247 1
493 526 7
182 382 5
687 583 2
86 133 5
15 438 2
189 642 1
608 483 9
619 57 2
694 339 6
690 26 10
466 632 7
313 361 8
42 29 6
575 655 5
537 524 9
217 274 7
470 530 9
635 540 5
653 185 6
626 674 6
473 550 9
62 689 8
119 237 4
463 176 5
73 185 3
647 297 1
479 44 4
473 92 2
190 332 10
271 507 4
408 536 7
94 475 1
10 467 7
392 198 5
667 492 8
247 398 9
34 330 10
190 568 7
601 282 5
601 283 7
311 30 10
309 40 2
502 60 3
439 585 8
624 527 2
280 364 1
663 487 6
688 186 5
358 641 3
291 222 5
573 423 4
343 87 8
446 432 2
306 360 10
205 442 4
277 96 2
414 673 5
496 130 2
381 664 3
458 586 9
692 179 5
82 443 1
640 544 9
617 649 3
509 187 1
345 172 2
186 310 5
190 494 10
113 464 1
292 562 2
643 201 6
551 631 7
296 38 2
622 676 4
65 232 9
287 308 4
648 82 2
345 525 3
229 80 5
66 113 6
339 684 9
479 163 5
94 348 5
677 518 3
93 549 10
118 188 1
138 166 10
44 118 2
610 69 4
392 647 4
191 606 8
132 136 1
361 220 4
464 280 6
387 670 1
528 385 6
398 532 2
312 89 9
0 417 1
269 647 10
99 56 2
592 371 10
214 101 10
35 432 2
518 244 2
132 505 2
406 435 6
29 597 5
214 114 3
699 420 7
47 465 4
136 102 4
183 247 3
508 345 5
557 532 2
232 276 5
612 226 10
206 574 8
426 640 1
316 516 7
161 11 8
255 623 1
458 338 7
590 64 8
468 225 1
605 321 3
88 429 2
14 488 4
616 304 1
450 399 3
422 265 10
44 52 10
340 485 10
354 9 6
234 16 9
697 198 10
409 66 8
320 299 8
254 635 3
341 290 10
635 358 3
26 230 1
469 393 8
157 114 6
551 194 1
25 88 8
598 183 5
572 251 10
250 63 6
281 221 1
213 285 4
405 18 9
243 325 1
506 106 4
82 584 7
256 517 6
2 508 9
297 415 1
442 510 8
612 458 6
340 393 2
486 360 8
292 70 1
45 501 7
224 304 8
602 394 7
575 153 7
102 474 5
465 266 6
697 294 1
260 362 2
288 30 9
566 575 10
494 231 6
236 373 4
467 332 6
398 217 6
123 546 7
359 585 4
294 92 5
148 536 6
521 195 10
108 364 7
558 235 10
679 25 7
268 189 4
422 344 8
338 367 10
349 61 7
364 14 6
175 59 10
426 62 1
2 129 1
76 639 9
169 488 1
482 166 6
160 253 9
364 335 6
29 481 10
414 12 7
513 111 3
643 507 9
265 2 5
665 253 7
155 452 5
103 83 9
166 412 3
667 293 8
630 241 9
201 565 9
267 610 4
640 384 8
64 400 3
440 42 4
581 201 2
95 492 6
307 261 3
126 134 9
295 190 10
60 202 5
280 86 8
14 477 9
490 391 9
431 204 10
106 360 4
177 245 7
534 319 10
217 351 2
162 191 3
216 327 5
364 334 5
245 379 10
178 213 1
491 221 2
12 281 9
431 495 9
15 550 8
516 173 2
52 335 3
529 196 6
461 5 6
376 80 8
36 50 10
4 377 2
357 575 8
468 639 7
369 353 8
254 689 4
381 529 2
467 548 10
380 294 6
134 122 3
315 517 9
414 49 8
347 80 7
600 369 10
236 140 5
428 329 2
554 594 9
180 212 10
181 11 7
114 44 6
176 40 8
242 91 9
280 32 7
320 284 8
442 656 3
4 252 2
449 285 2
475 647 4
91 465 6
612 215 8
28 585 3
195 196 5
646 256 6
181 577 2
567 15 8
203 138 7
304 511 4
369 165 4
297 471 10
179 212 2
193 48 5
421 174 10
146 282 1
114 239 1
378 438 6
440 201 5
311 222 8
50 335 7
506 639 6
258 641 6
342 621 2
602 388 1
618 234 6
490 474 4
103 408 9
499 621 4
7 136 5
40 312 1
465 392 7
34 143 4
293 14 2
169 642 3
59 501 1
250 191 5
618 62 8
507 690 1
191 490 10
286 499 3
422 496 8
688 128 9
437 8 8
187 100 8
148 571 7
228 556 4
558 511 1
456 212 4
423 281 7
529 519 4
60 239 7
502 259 9
437 360 3
75 530 7
79 540 3
11 336 9
376 144 6
356 37 1
526 94 3
451 398 5
234 219 1
473 283 5
695 605 6
279 469 5
663 675 10
47 566 1
485 213 9
38 271 4
180 298 1
342 670 1
484 500 4
313 217 7
220 543 9
533 407 8
27 697 10
490 167 4
10 537 2
531 587 2
358 354 2
438 135 9
197 402 3
361 408 9
127 494 9
609 278 7
204 571 1
287 679 2
219 329 8
243 503 6
3 399 10
441 254 4
258 264 4
112 77 2
411 570 10
348 397 1
196 437 9
376 395 9
602 95 5
52 134 4
624 657 7
630 424 8
195 249 7
358 316 7
250 418 2
240 133 3
552 116 3
646 101 10
93 576 9
677 305 3
658 112 7
310 311 1
363 511 5
494 643 7
154 317 4
268 251 2
212 38 9
201 187 6
70 590 4
575 600 6
58 680 10
440 495 2
456 514 10
581 185 3
184 504 8
255 90 7
667 92 10
62 514 3
47 547 3
150 395 10
200 147 4
573 571 3
698 157 8
187 88 2
491 208 10
552 535 1
385 252 1
147 303 1
439 672 2
287 167 7
297 327 3
359 198 7
370 202 7
41 172 9
443 287 10
201 455 7
149 396 9
23 689 3
611 269 5
461 134 8
612 574 1
101 166 4
413 428 3
435 270 2
301 53 7
12 1 7
169 93 8
567 667 1
622 659 7
590 298 10
100 501 7
90 355 10
431 602 9
505 501 1
460 290 9
519 329 10
589 9 7
11 5 1
186 334 10
537 579 8
594 6 2
406 497 8
595 141 9
280 171 1
382 249 8
4 58 8
524 182 2
647 600 7
310 174 1
226 369 9
695 547 6
82 39 7
505 671 10
211 483 10
343 98 8
549 557 2
619 677 8
165 275 4
372 79 1
589 554 6
319 174 2
628 489 9
460 408 4
478 308 10
445 540 8
458 39 8
490 171 6
621 58 8
681 569 10
527 89 5
556 79 8
300 12 2
511 387 6
361 178 7
73 235 3
185 87 6
115 162 10
300 74 5
241 56 5
260 562 5
473 352 8
381 364 6
125 490 6
314 611 10
10 213 5
460 636 7
192 558 4
504 620 10
51 694 1
493 303 2
383 155 7
352 3 5
563 248 8
516 355 6
218 479 7
63 229 1
436 110 7
469 461 1
15 336 4
271 240 10
414 0 9
36 106 1
163 400 9
407 119 9
100 234 1
484 255 4
281 79 3
461 458 4
468 41 8
123 434 4
55 120 4
360 372 3
55 112 2
547 137 2
469 356 6
589 157 2
423 280 9
112 349 8
216 391 6
393 31 9
91 206 9
119 43 3
292 607 8
680 460 1
209 263 5
178 684 8
434 131 9
696 173 8
663 431 8
269 45 2
212 65 9
165 201 2
121 242 6
126 466 2
508 385 10
9 668 2
407 527 2
172 263 1
680 86 7
513 541 9
598 558 6
667 231 6
113 455 7
423 472 3
446 342 6
685 693 3
91 571 6
526 237 4
59 396 7
243 311 6
232 462 9
24 597 1
49 379 3
616 2 7
41 445 4
454 143 10
166 589 3
254 460 7
144 72 5
311 351 7
409 536 7
316 608 3
493 222 9
131 67 2
669 150 9
665 192 4
102 125 9
39 119 3
274 59 10
441 278 3
622 585 9
180 343 3
693 13 6
371 129 6
687 612 7
177 24 6
147 456 9
622 40 9
6 265 7
565 568 3
118 605 9
142 112 8
239 226 10
592 184 8
179 333 7
516 66 1
426 627 10
566 603 4
697 296 1
81 631 10
385 149 4
511 320 9
292 272 9
571 612 10
550 664 9
654 381 6
679 562 8
37 612 6
25 613 6
210 0 4
515 25 3
587 517 10
71 475 1
199 472 6
296 534 3
131 580 10
241 485 8
85 245 6
30 449 5
271 60 4
695 401 7
27 513 9
49 22 5
219 665 3
117 629 6
111 654 9
235 55 7
290 243 3
265 123 3
546 172 9
47 362 7
18 346 9
544 555 3
367 556 5
51 427 8
21 389 2
11 301 3
446 396 4
30 225 6
59 398 3
513 289 8
596 270 2
468 506 10
69 24 5
442 664 7
624 145 2
319 208 2
583 657 1
488 408 2
173 39 10
63 114 1
256 348 4
50 551 8
431 512 2
52 677 8
588 279 9
55 264 9
200 191 4
256 1 6
11 662 4
308 632 8
396 351 7
307 584 5
532 155 2
113 554 5
665 286 7
697 570 1
540 470 3
535 471 4
522 367 5
491 634 9
6 570 6
307 252 7
486 387 5
635 473 7
160 94 2
620 488 7
370 580 1
663 449 1
244 374 10
66 549 8
63 541 2
351 617 9
108 186 8
511 487 6
433 174 7
54 156 8
520 352 3
292 322 4
578 353 5
61 16 5
295 151 7
440 27 2
564 683 2
454 286 10
581 367 6
285 473 3
647 452 9
232 72 9
509 120 1
471 241 2
126 446 5
221 2 5
162 488 2
606 679 5
564 544 9
102 610 5
408 640 9
489 555 1
270 15 1
520 595 8
60 164 8
54 601 2
469 176 10
360 190 5
500 307 2
446 98 9
314 289 9
559 468 4
235 594 2
196 385 7
235 598 10
440 23 4
613 685 3
1 666 9
305 124 2
339 420 3
233 218 3
387 461 3
131 240 3
227 78 6
575 650 2
471 139 3
559 597 6
5 86 3
687 612 3
38 605 7
106 224 7
656 290 7
8 102 1
585 522 3
115 250 4
129 600 7
513 400 2
617 580 4
413 324 5
519 204 1
212 626 8
226 683 7
58 359 7
397 294 2
529 295 5
519 458 3
689 40 6
144 555 8
38 340 5
3 162 1
559 382 8
679 466 2
454 409 8
371 102 2
511 335 5
438 223 5
103 449 8
299 589 9
640 1 5
315 76 7
145 662 2
504 147 4
100 322 3
625 220 7
505 78 6
528 307 7
542 399 10
471 354 7
314 316 3
189 225 1
316 193 5
416 83 5
391 579 1
128 9 8
200 100 10
689 100 8
470 237 5
58 576 4
625 240 3
60 395 2
618 333 1
681 396 8
487 562 7
178 340 5
633 38 3
89 303 6
120 349 6
117 591 10
689 29 4
390 215 6
13 525 7
638 309 1
460 42 10
107 669 1
341 209 3
476 405 8
38 271 9
25 628 3
273 204 9
421 646 1
319 125 7
121 150 4
238 355 10
436 243 5
23 67 5
144 10 8
192 202 10
37 359 5
543 242 10
116 465 5
136 565 7
118 55 8
372 76 10
28 259 1
408 443 5
123 633 3
355 163 6
58 201 8
406 317 1
652 675 2
544 93 9
386 694 4
543 97 10
46 249 10
241 148 6
431 511 1
507 114 8
111 612 6
424 603 6
485 424 2
339 584 9
336 0 5
244 426 8
304 60 4
537 97 4
325 540 4
106 108 1
201 512 1
383 577 2
363 340 10
224 438 4
186 209 9
634 68 6
328 545 4
20 651 5
351 75 3
485 412 3
11 575 8
106 605 6
19 605 4
368 681 5
466 389 2
493 444 6
392 545 6
645 478 5
628 44 8
204 328 3
228 174 8
13 83 2
658 688 2
78 6 5
147 639 2
636 382 10
112 404 9
695 598 7
322 243 4
24 592 4
37 488 3
495 493 2
611 616 2
274 640 1
304 10 10
225 154 9
414 143 7
682 248 2
5 166 8
66 571 8
624 517 3
637 272 1
156 7 4
241 10 1
407 364 2
223 563 2
561 170 9
122 492 5
435 409 3
126 100 1
410 291 1
338 292 8
685 677 1
374 106 3
214 300 4
385 177 7
57 579 7
242 32 8
354 157 10
248 622 4
186 97 1
680 229 1
402 518 1
27 590 3
46 631 10
68 36 8
149 27 8
91 566 2
195 218 4
22 392 4
543 123 6
65 251 10
454 382 3
522 355 10
210 392 2
18 77 2
575 299 10
395 69 1
439 67 5
611 433 7
618 518 4
671 480 10
314 554 3
166 102 4
309 571 8
48 395 1
656 125 10
236 657 7
179 524 4
528 232 8
386 574 2
49 82 1
493 116 8
409 15 7
528 317 4
221 496 4
187 214 5
291 564 3
476 411 1
49 585 7
178 549 8
254 605 8
673 28 9
578 86 10
426 377 6
168 626 9
63 64 10
127 362 2
615 405 10
495 338 6
261 88 5
469 17 4
413 528 1
641 411 10
162 410 10
292 421 9
113 655 8
188 582 7
653 433 5
694 374 10
439 452 8
614 565 3
480 259 10
572 15 8
62 412 7
43 510 10
412 345 10
158 605 1
243 595 7
393 129 3
156 42 6
66 463 10
78 13 4
185 285 3
27 386 1
580 499 1
638 618 6
563 397 8
388 149 7
234 70 2
124 667 5
73 78 7
229 227 3
176 247 4
85 43 5
634 625 5
37 546 10
292 382 5
605 301 5
622 683 5
396 435 4
143 663 4
95 676 1
366 272 8
547 28 2
43 8 6
410 450 8
481 154 6
173 655 1
621 6 6
137 39 6
49 107 6
444 104 7
520 573 9
84 93 4
9 218 9
46 515 1
324 536 5
28 409 1
520 3 7
81 537 9
429 644 3
90 564 4
315 505 2
126 590 8
151 362 8
72 404 6
592 438 4
110 76 4
619 56 9
376 122 2
306 678 8
153 408 6
244 653 3
442 93 4
310 172 10
289 21 8
584 254 10
117 438 1
600 55 5
367 70 5
647 535 4
73 271 7
40 485 7
630 572 10
478 570 10
216 230 1
168 187 6
353 410 6
297 407 2
459 150 4
306 537 9
86 306 2
683 336 3
53 593 4
579 603 8
573 64 7
339 568 8
548 485 4
230 85 1
390 458 4
559 79 8
643 22 5
372 28 4
97 674 5
341 277 5
88 477 10
529 79 3
692 361 8
94 500 10
650 247 2
448 129 5
647 334 6
340 76 8
567 117 2
97 504 5
384 111 7
308 567 9
334 203 6
139 540 10
177 20 10
192 374 9
139 425 1
125 642 7
131 272 9
451 675 8
476 301 6
285 133 9
553 385 2
87 23 1
307 375 1
457 455 2
74 285 2
241 80 5
446 140 2
171 547 9
359 695 2
181 309 9
633 226 8
76 663 8
50 269 3
672 607 7
138 625 10
581 237 5
685 515 8
78 353 2
164 158 10
64 580 7
555 397 2
349 679 6
629 133 10
362 225 5
413 623 10
669 171 2
485 22 2
282 375 8
504 201 2
679 556 9
28 285 2
99 689 4
603 570 6
196 553 8
551 583 3
60 443 4
136 25 1
154 434 10
297 652 6
148 29 9
352 495 2
553 330 6
649 74 3
273 692 3
333 233 1
172 438 7
301 21 2
82 66 8
235 670 9
152 618 2
102 435 4
37 476 5
587 610 10
503 146 1
633 639 5
524 630 3
201 325 3
563 431 9
327 569 4
332 364 3
333 287 5
462 348 5
536 608 7
415 633 9
385 630 2
205 260 8
55 111 7
495 46 4
205 274 3
204 546 5
411 200 5
567 117 8
203 640 1
544 588 2
373 179 9
522 211 1
570 473 4
253 441 3
82 639 6
556 635 2
95 386 8
36 106 9
3 422 1
257 253 10
224 309 1
385 217 7
204 494 4
450 388 6
50 693 8
22 86 2
526 178 10
527 485 3
53 691 4
71 254 1
402 383 7
34 212 10
14 253 8
531 45 2
376 601 5
134 256 10
193 167 6
160 271 7
572 537 10
220 119 7
637 364 2
55 203 7
599 531 1
310 308 2
1 364 7
279 77 10
222 670 10
127 530 4
313 167 5
138 363 1
473 408 10
343 627 5
674 516 4
3 547 6
56 674 5
596 150 8
507 208 1
611 420 3
495 341 4
391 685 1
138 409 10
344 686 5
431 502 2
688 190 2
319 163 5
389 148 1
436 263 4
661 565 8
560 257 9
667 209 9
670 137 4
426 691 2
553 170 1
29 247 4
181 256 4
666 638 9
226 271 10
533 401 4
157 507 2
351 691 9
20 650 10
147 139 10
538 602 6
263 689 9
437 573 5
697 641 9
13 90 6
434 3 4
533 528 10
142 509 6
9 618 6
685 381 9
206 189 4
180 273 1
386 404 6
65 139 1
511 513 8
232 493 2
416 275 5
493 516 5
310 40 4
435 545 6
91 160 9
582 490 2
175 391 1
543 608 3
690 665 5
313 143 3
121 170 5
257 54 2
198 273 1
672 676 7
304 62 6
87 420 2
650 270 3
370 304 4
669 33 4
147 530 1
129 246 1
460 377 6
427 640 1
694 8 10
268 457 8
460 304 9
454 526 1
451 47 1
337 645 2
276 36 8
379 434 8
551 588 10
413 539 8
133 265 3
250 344 5
434 63 2
623 257 7
644 654 5
560 545 7
80 118 2
66 101 1
579 356 9
366 41 1
406 579 4
122 593 5
65 294 5
606 167 4
77 12 7
63 122 10
550 656 3
613 463 4
1 499 6
366 451 10
537 635 5
258 492 7
195 483 5
536 342 5
456 307 2
211 569 9
117 274 8
345 630 8
623 547 6
654 282 5
415 148 10
486 145 2
398 686 10
426 488 9
174 133 1
364 477 3
244 69 3
575 374 9
185 232 3
158 218 6
504 472 8
285 340 6
592 32 8
21 218 7
15 250 7
405 105 2
274 320 1
406 669 6
549 372 8
287 469 5
419 166 8
20 673 4
558 494 9
684 109 4
143 356 1
694 610 4
465 682 1
603 198 6
666 488 9
201 163 10
16 506 3
688 446 6
559 71 4
163 219 7
95 681 9
196 186 4
325 53 6
440 124 3
22 586 9
681 638 7
69 624 4
568 355 9
1 685 1
281 6 6
687 246 1
90 361 5
314 363 1
278 697 5
581 380 8
540 634 7
163 361 4
109 97 7
481 546 10
149 35 5
451 496 5
288 382 2
135 393 10
464 471 7
568 288 3
671 1 6
298 529 5
382 363 10
379 196 6
118 229 2
460 264 7
400 431 5
512 347 8
218 472 4
101 303 6
583 372 7
261 133 3
285 291 5
249 456 7
553 459 1
549 608 7
208 640 6
107 584 8
430 377 5
666 553 9
56 474 10
603 132 10
680 631 5
238 450 4
697 408 10
667 404 5
223 218 5
436 411 1
7 51 2
457 124 5
52 582 8
172 574 6
271 42 10
237 64 5
24 490 2
110 393 8
575 419 9
326 106 5
309 48 5
445 491 2
346 219 2
680 290 1
427 160 1
554 594 2
103 67 5
125 337 2
402 544 1
124 460 3
620 118 4
572 363 6
297 187 10
562 644 7
39 352 6
431 500 3
461 91 1
416 449 4
14 176 4
378 353 1
449 399 2
66 699 3
508 142 10
211 94 6
279 32 1
588 402 10
268 508 10
345 464 10
646 656 4
617 504 5
668 375 7
398 563 10
129 311 3
450 558 10
594 123 8
274 292 9
606 24 4
409 656 3
389 582 5
63 332 3
493 671 10
462 597 3
320 409 3
210 548 7
71 162 6
436 402 3
488 299 1
600 8 10
225 68 9
455 431 7
350 187 7
116 668 9
536 451 4
476 690 5
94 313 7
312 649 7
155 678 1
14 366 2
260 289 1
513 558 1
12 533 7
624 40 6
9 216 1
481 638 10
236 293 9
664 249 2
447 267 6
28 194 9
670 492 5
607 547 2
245 365 1
419 67 10
58 221 9
478 94 6
402 174 6
433 206 9
48 605 2
485 72 9
629 99 4
32 85 7
519 211 2
475 230 5
162 442 1
429 367 6
453 681 10
416 381 6
356 403 8
368 424 1
396 8 5
291 64 1
222 320 7
335 667 6
94 58 3
75 391 8
641 426 8
157 584 7
620 644 9
292 58 3
64 300 5
123 153 7
341 395 7
302 345 6
136 537 9
431 74 10
335 471 6
51 348 2
343 214 10
185 696 3
562 679 1
380 504 1
443 583 10
127 256 7
212 84 5
15 376 2
360 464 5
181 297 8
317 57 6
395 46 1
67 152 3
463 585 1
235 256 10
427 632 7
554 529 8
24 73 7
240 568 1
40 319 9
96 278 8
595 299 7
29 158 10
655 492 5
146 570 8
107 157 7
107 95 6
276 111 10
437 654 3
632 531 6
464 252 5
338 91 8
360 643 9
482 455 10
434 348 5
100 462 4
542 290 2
423 609 8
620 267 8
64 281 2
561 57 5
377 59 10
559 451 4
170 339 5
441 607 6
537 610 10
345 326 7
180 140 6
383 168 2
63 598 6
198 650 6
529 699 7
462 107 10
567 245 5
638 514 2
397 164 8
85 425 1
405 423 7
471 294 6
428 491 10
188 251 10
69 227 6
133 685 4
587 333 6
213 184 8
318 322 10
288 151 9
364 394 4
347 41 3
626 380 6
182 293 9
145 618 9
580 577 8
184 151 10
96 467 3
346 245 3
368 621 2
325 248 3
436 625 1
144 693 10
674 517 1
0 510 4
222 646 7
549 106 2
320 594 7
5 183 4
469 545 1
125 149 2
588 529 3
161 326 4
221 458 8
46 323 5
186 141 1
328 614 2
410 161 3
105 333 6
585 421 9
143 541 9
447 310 10
554 32 4
25 63 2
278 36 5
512 421 5
587 663 9
271 225 10
615 319 2
547 205 10
53 33 10
39 358 7
517 271 3
174 617 4
695 362 5
423 53 5
448 104 2
63 335 1
608 658 10
361 259 8
232 29 2
205 73 5
52 264 3
41 439 4
297 310 7
522 545 3
262 389 8
470 552 5
44 140 7
31 60 3
101 25 1
438 282 7
373 232 6
287 312 10
278 496 3
32 105 8
649 134 4
269 24 3
126 391 5
208 687 4
597 591 3
82 453 5
529 658 9
647 542 1
120 102 6
37 615 4
339 384 4
562 355 7
302 312 3
395 392 2
330 694 2
458 317 7
134 610 1
54 538 2
114 172 6
654 37 7
28 151 10
302 28 9
281 155 6
596 139 1
384 24 9
120 119 1
575 246 7
446 311 4
415 444 2
522 616 7
30 291 8
436 539 1
316 122 9
617 437 9
454 154 3
20 533 5
34 217 6
397 579 4
413 55 8
522 560 9
97 583 10
387 154 6
386 118 9
435 126 1
275 470 3
90 687 1
212 277 6
1 629 2
502 532 9
572 570 4
330 626 5
80 553 10
187 382 4
508 623 8
361 476 4
512 27 10
478 3 2
13 146 10
610 355 9
466 676 8
589 56 2
605 556 6
451 639 4
522 332 6
3 488 4
576 433 1
258 513 5
427 470 5
463 375 7
541 42 5
261 642 8
550 524 1
82 224 7
235 94 9
312 362 4
277 444 10
337 650 1
321 546 10
408 233 9
620 239 8
331 421 8
71 36 2
177 621 10
238 486 1
388 678 8
57 2 5
460 467 8
79 383 3
548 193 4
662 63 8
263 644 8
226 566 10
356 380 8
538 630 9
674 121 9
245 425 1
186 444 6
362 635 4
346 228 5
304 10 5
367 48 5
285 344 5
306 65 4
515 332 6
625 346 9
28 664 5
695 508 9
133 33 9
375 473 2
659 555 9
652 181 8
359 479 6
539 514 3
131 253 10
146 438 8
54 248 2
591 371 3
252 361 3
421 690 5
15 197 7
51 378 2
239 124 5
130 506 5
645 116 8
535 328 3
105 695 2
258 533 4
510 18 5
297 353 6
255 279 7
120 674 7
169 69 10
510 328 3
646 27 7
698 594 6
31 578 4
259 388 3
280 672 8
105 449 6
455 155 2
