100 500
25 11 8
57 97 9
38 0 2
13 97 1
84 58 8
46 38 3
75 62 4
38 67 5
95 93 1
53 95 9
23 6 3
26 73 6
30 20 9
33 68 3
27 17 9
2 90 1
66 42 6
62 3 5
9 72 8
91 92 9
28 96 3
53 49 8
6 68 1
80 15 1
64 51 4
8 19 5
35 77 10
23 50 6
19 52 9
58 8 7
31 54 3
68 6 6
46 57 3
29 92 8
62 54 9
41 93 6
19 66 6
35 81 2
72 97 4
18 76 1
15 34 9
87 86 5
26 10 10
81 59 10
89 77 4
41 14 7
57 6 7
17 34 8
68 91 5
59 62 2
41 34 5
85 93 9
72 3 10
89 18 10
8 5 3
13 38 8
55 70 5
66 35 1
64 13 5
6 47 3
56 55 3
48 30 1
44 68 6
23 58 3
25 48 1
93 66 4
2 59 4
20 41 4
78 59 9
77 32 6
91 0 10
30 43 4
51 10 5
45 71 9
51 89 4
96 9 3
31 73 10
21 79 3
20 81 8
49 88 2
23 7 1
6 30 4
60 41 7
87 11 7
5 76 9
51 90 2
66 20 1
96 69 6
97 18 5
71 3 6
42 9 10
48 97 10
26 59 3
88 69 7
72 78 8
85 65 1
11 87 7
26 3 9
7 68 7
23 90 9
33 15 4
50 87 8
83 77 1
16 56 6
61 54 5
95 30 4
68 58 9
39 59 4
59 40 5
40 39 2
96 33 9
60 30 9
62 49 3
45 71 10
84 54 4
12 89 9
0 99 8
35 60 8
11 43 3
7 31 6
66 77 5
25 19 7
25 86 7
61 69 3
53 96 1
81 77 8
38 24 5
73 62 2
55 28 2
53 19 6
99 56 8
25 87 7
68 92 1
4 10 9
25 69 1
71 12 4
